Gene_name,GSM1178970,GSM1178971,GSM1178972,GSM1178973,GSM1178974,GSM1178975,GSM1178977,GSM1178978,GSM1178979,GSM1178980,GSM1178986,GSM1178987,GSM1178988,GSM1178989,GSM1178993,GSM1178995,GSM1178996,GSM1178998,GSM1178999,GSM1179001,GSM1179002,GSM1179003,GSM1179004,GSM1179006,GSM1179008,GSM1179010,GSM1179015,GSM1179017,GSM1179018,GSM1179021,GSM1179024,GSM1179025,GSM1179026,GSM1179027,GSM1179033,GSM1179035,GSM1179036,GSM1179037
SIRT6,5.393419113999999,5.252438145,5.842782302000001,5.4621315479999994,5.734783016000001,5.706825754,5.259368827,5.210543582,5.31362683,5.6270393720000005,5.226645233,5.36323985,5.5685965,5.391986547,5.476602969,5.317972005,5.373457083,4.946921806000001,5.862886209,5.36705348,5.401283181,5.60550808,5.587546822,5.935540535,5.477583395,6.172634883,5.426797712999999,5.885897901,5.557189745,5.646392575,5.342312683,5.854782515,5.390495347000001,5.637649786,5.344804625,5.408846347999999,5.338843965,5.368284468
STAP2,7.116574909,7.537117263,8.410230288,7.731424392999999,7.4720608429999995,7.968355109,7.267531995,7.095652958,7.728780936000001,8.136729471,7.190348791,7.449508872999999,7.810204263999999,7.4280959310000005,7.45829049,7.704806337000001,7.585402471,6.069321475,7.394472021,7.297592721,7.64457797,7.671658304,7.6980151029999995,7.389277957999999,7.832020145,6.854543171,7.498736371000001,7.851013114,6.935257711,7.483355641,7.308425768999999,7.673825527999999,7.1037714020000005,7.391997988,7.272736779,7.216931155,7.368768352999999,7.599051931
PLIN4,6.372046158,5.784994232000001,7.1688384979999995,7.174359946,5.604341664,6.908889965,6.355808323,5.97313364,6.391462957999999,6.323532574,6.795824992999999,6.554090196000001,7.021036887999999,6.687577645,6.62411652,6.893068727,6.566801975,6.310388157999999,7.441682722,6.844096947000001,5.8120645060000005,6.616808314,6.801869606,6.777168683999999,7.397092862,7.810059085,5.729963894,6.423742169,6.434054199,6.746563724,6.989153193,6.194957257,6.547967777,7.3319768970000005,6.622346021,6.649693914,7.150008558,6.796725038
DPP9,7.254848116000001,7.256310621,7.732029674,7.978901554,7.518084299,7.599653727000001,7.523678877999999,6.868494271,7.680757809,7.508059485,7.223380388,7.289102167999999,7.451383203,7.378643286,7.530820104,7.7253250410000005,7.164193568,7.120928514,7.937782771,7.519093937,7.251187775,7.50050014,7.320580777000001,7.140023649,7.48453628,7.796692081000001,7.096770359,7.925244965,7.44954056,7.499070098,7.6483583,7.521508237999999,7.638304214,7.685217057999999,7.51726447,7.427580536000001,7.617691807999999,7.485026462
C19orf70,5.815227573,5.565139771,6.002546085,5.419328167000001,5.8063408889999994,6.117970958,6.313902145,6.1511804770000005,5.9730862,6.117298141,5.662256941,5.5659916670000005,6.11955271,5.791898429,6.018653495,5.5325152189999995,5.679488561,5.430101978,6.2186335139999995,5.535599177999999,5.409258677,6.022184929,5.366638922,5.150164725,5.531019279,5.541525749,5.280064092,5.631516523999999,5.56192624,6.1446384620000005,5.544161394,6.142004134,5.374228932,6.345135422999999,5.565631245,5.733596914,5.574051122,5.840531706
NDUFA11,7.32100172,6.818191633,7.627960194,7.1350256,7.206570416,7.3957010610000005,7.536358384,6.986810587000001,7.417033602999999,7.557388117,7.2433448039999995,7.210167557,7.124492993,7.44690407,7.289839129,7.065315487,6.823290273,6.791557703,7.635130804,6.797422678999999,6.627000824,7.301803431000001,7.151729925,7.106169541,6.9518054970000005,6.822387748,6.821351177,7.577739192999999,7.170399426,7.123865735,7.300467167000001,7.777960257,7.246418802000001,7.555847797,7.4740198079999995,7.238142568,7.289854621,7.091560007000001
KHSRP,8.128059365,7.8103628160000005,8.210864726,7.923662161,7.940274281000001,7.825880072,7.886856152999999,7.571614416,7.89210716,7.640344702,7.683486355,7.750092688,8.130475492999999,7.90145379,7.599386852,7.995745552000001,7.870504436,7.778082572000001,8.048435647,7.570548926,7.750534157000001,7.867619116,7.874413214,7.87331269,7.675519417,8.289221944,7.87331269,7.964855695,7.784531143,7.697242613999999,7.888152576,7.993203783999999,7.999950565,7.570135415,8.087777182,8.057933947,8.088102013,7.791453659
SLC25A23,6.963527635,6.430571903,7.638949294,7.30141008,6.785752649,7.1383061560000005,7.238380744,6.64493916,7.342755886,6.65120644,6.751441444,6.726676097,7.114347017,7.255983705,7.004916678,7.135240597,7.135304886,6.40493756,7.392319408,6.98281961,7.163137836000001,6.8857472920000005,7.010511865,6.915176292000001,7.127431575,5.55848103,6.932370903,7.3216157939999995,6.502176733,7.1511635920000005,7.152942536,7.4142768939999995,7.144244867,6.668876962000001,7.051069277000001,6.801265182000001,7.183412587,6.876266337000001
C3,13.17090497,13.20048344,13.34731317,13.25768474,13.23291346,13.15542892,13.25562941,13.11927921,13.18304123,13.22100255,13.13863997,13.118542199999998,13.15340082,13.15419998,13.27297351,13.2497635,13.18670647,13.20405729,13.14830916,13.16933652,13.137325899999999,13.139142999999999,13.24192039,13.12428597,13.14823393,13.14575043,13.16616581,13.01874876,13.169868,13.14624468,13.13155953,13.26203482,13.11307585,13.19736717,13.229131299999999,13.19632814,13.28353468,13.20374627
PEX11G,5.84997519,5.888792792,6.377275782000001,5.803807174,6.147298297000001,6.118541711000001,6.042555543,5.802721299,6.169923164,6.036269717000001,5.612373895,5.922777367999999,6.038463724,6.091917372,5.956613484,5.677762499,5.797653042,5.379062152,6.519745127999999,5.320101803,5.325857425,6.116218567000001,5.584047075,5.739304251,5.807056935,5.453960532000001,5.180901776000001,5.9003606920000005,5.705689133,6.283404754,5.802365869,6.176457039,5.771700724,5.78418734,5.932708599,5.739689767000001,5.82480583,5.305368916
